file_name,class_model1,class_model2,class_model3,class_tuple,common_or_frequent,common
jsyjyssc,course,course,course,"('course', 'course', 'course')",course,course
lptrnbd,student,student,student,"('student', 'student', 'student')",student,student
wwqvvjs,department,department,department,"('department', 'department', 'department')",department,department
vptlgja,other,other,other,"('other', 'other', 'other')",other,other
xhokpp,student,student,student,"('student', 'student', 'student')",student,student
fcwjgf,other,other,other,"('other', 'other', 'other')",other,other
gtgxgzcn,student,staff,staff,"('student', 'staff', 'staff')",staff,None
opklki,project,project,project,"('project', 'project', 'project')",project,project
pdmpmk,other,other,other,"('other', 'other', 'other')",other,other
bjwiuevz,other,other,other,"('other', 'other', 'other')",other,other
fvcnksd,project,project,project,"('project', 'project', 'project')",project,project
olbqqcm,project,project,project,"('project', 'project', 'project')",project,project
vsvgi,project,project,project,"('project', 'project', 'project')",project,project
czwglks,other,other,other,"('other', 'other', 'other')",other,other
muncc,student,student,student,"('student', 'student', 'student')",student,student
rteuy,staff,staff,staff,"('staff', 'staff', 'staff')",staff,staff
wuuosaed,student,student,student,"('student', 'student', 'student')",student,student
stfmt,other,other,other,"('other', 'other', 'other')",other,other
lxmezm,student,student,student,"('student', 'student', 'student')",student,student
rcxfcogj,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
xfyqrgf,student,student,student,"('student', 'student', 'student')",student,student
ulmioz,department,department,department,"('department', 'department', 'department')",department,department
higwe,other,other,other,"('other', 'other', 'other')",other,other
jbarxv,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ttlztms,course,course,course,"('course', 'course', 'course')",course,course
jfpfze,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
pjnwjfgw,student,student,student,"('student', 'student', 'student')",student,student
unxkz,student,student,student,"('student', 'student', 'student')",student,student
xlgkek,project,project,project,"('project', 'project', 'project')",project,project
ccbje,other,other,other,"('other', 'other', 'other')",other,other
oyfvhply,department,department,other,"('department', 'department', 'other')",department,None
mbyfebju,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
lgzaacv,other,other,other,"('other', 'other', 'other')",other,other
rnhzudzg,student,student,other,"('student', 'student', 'other')",student,None
bqbvlmis,other,other,other,"('other', 'other', 'other')",other,other
qxltpmh,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
mfryd,student,student,student,"('student', 'student', 'student')",student,student
qraxhjys,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
nlzggd,other,other,other,"('other', 'other', 'other')",other,other
hskgpx,student,student,faculty,"('student', 'student', 'faculty')",student,None
wkabbe,student,student,student,"('student', 'student', 'student')",student,student
ojwsr,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
vgyes,other,other,other,"('other', 'other', 'other')",other,other
rdhezzsl,student,student,student,"('student', 'student', 'student')",student,student
jlecz,project,project,project,"('project', 'project', 'project')",project,project
udjcy,other,other,other,"('other', 'other', 'other')",other,other
amowrsh,other,other,other,"('other', 'other', 'other')",other,other
unmwiet,other,other,other,"('other', 'other', 'other')",other,other
nmhpr,student,staff,student,"('student', 'staff', 'student')",student,None
esxrrht,student,student,faculty,"('student', 'student', 'faculty')",student,None
wezofmdj,other,other,other,"('other', 'other', 'other')",other,other
wvmbv,other,other,other,"('other', 'other', 'other')",other,other
uecth,student,student,student,"('student', 'student', 'student')",student,student
gfvefxbu,course,course,course,"('course', 'course', 'course')",course,course
qtwwz,student,student,student,"('student', 'student', 'student')",student,student
werhnlmo,other,other,other,"('other', 'other', 'other')",other,other
uypqg,student,faculty,faculty,"('student', 'faculty', 'faculty')",faculty,None
kdscbeoa,other,other,other,"('other', 'other', 'other')",other,other
rlnave,other,other,other,"('other', 'other', 'other')",other,other
gjuhqzdv,other,other,other,"('other', 'other', 'other')",other,other
ncnwm,other,other,other,"('other', 'other', 'other')",other,other
xhekwdq,course,course,course,"('course', 'course', 'course')",course,course
pgtdgqa,project,project,project,"('project', 'project', 'project')",project,project
jnlam,student,student,student,"('student', 'student', 'student')",student,student
djqfg,student,faculty,faculty,"('student', 'faculty', 'faculty')",faculty,None
gfwdbf,other,other,other,"('other', 'other', 'other')",other,other
vbpiud,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ypksxut,project,project,project,"('project', 'project', 'project')",project,project
pzfsl,project,project,project,"('project', 'project', 'project')",project,project
khtaydx,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
qtishmb,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
zvrysckq,student,student,student,"('student', 'student', 'student')",student,student
rszjd,other,other,other,"('other', 'other', 'other')",other,other
uudvxh,other,other,other,"('other', 'other', 'other')",other,other
gaqepyeo,student,student,student,"('student', 'student', 'student')",student,student
grddrzm,other,other,other,"('other', 'other', 'other')",other,other
krjly,other,other,other,"('other', 'other', 'other')",other,other
iyfsi,other,other,other,"('other', 'other', 'other')",other,other
lknwvokt,student,student,student,"('student', 'student', 'student')",student,student
aixqtudn,other,other,other,"('other', 'other', 'other')",other,other
szlmwq,other,other,other,"('other', 'other', 'other')",other,other
xnwfz,student,student,student,"('student', 'student', 'student')",student,student
srylfnmn,other,other,other,"('other', 'other', 'other')",other,other
tvkyfq,student,student,student,"('student', 'student', 'student')",student,student
whchrj,student,student,student,"('student', 'student', 'student')",student,student
iawcg,other,other,other,"('other', 'other', 'other')",other,other
ekauzlfp,student,student,student,"('student', 'student', 'student')",student,student
pzidtqlv,other,other,other,"('other', 'other', 'other')",other,other
simnaiid,other,other,other,"('other', 'other', 'other')",other,other
rqabbch,course,course,course,"('course', 'course', 'course')",course,course
caaelf,student,student,student,"('student', 'student', 'student')",student,student
pnurvmuj,other,other,other,"('other', 'other', 'other')",other,other
zfehbu,other,other,other,"('other', 'other', 'other')",other,other
ughlzdd,other,other,other,"('other', 'other', 'other')",other,other
zqaau,department,department,department,"('department', 'department', 'department')",department,department
uphoqmv,other,other,other,"('other', 'other', 'other')",other,other
tidvz,other,other,other,"('other', 'other', 'other')",other,other
fajpkgj,student,student,student,"('student', 'student', 'student')",student,student
jrkacjdp,other,course,course,"('other', 'course', 'course')",course,None
rkokgno,other,other,other,"('other', 'other', 'other')",other,other
fcpcxixw,department,department,department,"('department', 'department', 'department')",department,department
upvdcil,student,staff,student,"('student', 'staff', 'student')",student,None
owlrody,student,student,student,"('student', 'student', 'student')",student,student
fizgc,other,other,other,"('other', 'other', 'other')",other,other
augwaud,other,other,other,"('other', 'other', 'other')",other,other
qcaljay,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
mudeyg,other,other,other,"('other', 'other', 'other')",other,other
xuoppkn,other,other,other,"('other', 'other', 'other')",other,other
bdcydd,student,student,student,"('student', 'student', 'student')",student,student
vcghxedd,other,other,other,"('other', 'other', 'other')",other,other
ueaelqhp,other,other,other,"('other', 'other', 'other')",other,other
lbiaen,project,project,other,"('project', 'project', 'other')",project,None
qmbrbf,other,other,other,"('other', 'other', 'other')",other,other
itozobft,other,other,other,"('other', 'other', 'other')",other,other
yujiusv,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
kobkw,student,student,student,"('student', 'student', 'student')",student,student
gnrotudd,other,other,other,"('other', 'other', 'other')",other,other
bqcuk,project,project,project,"('project', 'project', 'project')",project,project
bofjb,other,other,other,"('other', 'other', 'other')",other,other
vucvfbo,project,project,project,"('project', 'project', 'project')",project,project
nimbgu,other,other,other,"('other', 'other', 'other')",other,other
hquvdf,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
wagnh,other,course,other,"('other', 'course', 'other')",other,None
irhvprt,student,student,student,"('student', 'student', 'student')",student,student
tzabfv,other,other,other,"('other', 'other', 'other')",other,other
lpqqysth,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
uefdjout,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
vmeusmjs,other,other,other,"('other', 'other', 'other')",other,other
rrgpppop,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
uihixqum,other,other,other,"('other', 'other', 'other')",other,other
tfggglf,other,other,other,"('other', 'other', 'other')",other,other
cgjuowc,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
kvxrm,course,course,course,"('course', 'course', 'course')",course,course
syxty,other,other,department,"('other', 'other', 'department')",other,None
muuzsqc,other,other,other,"('other', 'other', 'other')",other,other
dhtdvz,other,other,other,"('other', 'other', 'other')",other,other
zxcehieq,other,other,other,"('other', 'other', 'other')",other,other
apcgc,faculty,faculty,student,"('faculty', 'faculty', 'student')",faculty,None
uuyzux,course,course,course,"('course', 'course', 'course')",course,course
karbsg,student,student,student,"('student', 'student', 'student')",student,student
srjxwuc,course,course,course,"('course', 'course', 'course')",course,course
kzgrf,other,other,other,"('other', 'other', 'other')",other,other
weyaq,other,other,other,"('other', 'other', 'other')",other,other
xfmweyy,other,other,other,"('other', 'other', 'other')",other,other
yapkjnvk,other,other,other,"('other', 'other', 'other')",other,other
qzmjh,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
nwjkcjbp,other,other,other,"('other', 'other', 'other')",other,other
pcniublf,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
xpolx,course,course,course,"('course', 'course', 'course')",course,course
blobw,course,course,course,"('course', 'course', 'course')",course,course
jswcx,course,course,course,"('course', 'course', 'course')",course,course
srfft,course,course,course,"('course', 'course', 'course')",course,course
yadbhst,student,student,student,"('student', 'student', 'student')",student,student
ovzunke,other,other,other,"('other', 'other', 'other')",other,other
wqnpthh,department,department,department,"('department', 'department', 'department')",department,department
rvgdymog,other,other,other,"('other', 'other', 'other')",other,other
bxwnlyu,other,other,other,"('other', 'other', 'other')",other,other
jwfzxxg,other,other,other,"('other', 'other', 'other')",other,other
ztmcj,other,project,project,"('other', 'project', 'project')",project,None
eenhsx,other,other,other,"('other', 'other', 'other')",other,other
bjjitsgt,course,course,course,"('course', 'course', 'course')",course,course
zcwlvejw,course,course,course,"('course', 'course', 'course')",course,course
deqwxxpt,other,other,other,"('other', 'other', 'other')",other,other
rlspsv,other,other,other,"('other', 'other', 'other')",other,other
vgflj,other,other,other,"('other', 'other', 'other')",other,other
kjsyzoav,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
rwmiz,student,student,student,"('student', 'student', 'student')",student,student
ffrkhfcp,other,other,other,"('other', 'other', 'other')",other,other
rhrilmb,department,department,department,"('department', 'department', 'department')",department,department
paorb,other,student,student,"('other', 'student', 'student')",student,None
uerqckoj,student,student,student,"('student', 'student', 'student')",student,student
prlhb,course,course,course,"('course', 'course', 'course')",course,course
ywrzvbyr,student,student,student,"('student', 'student', 'student')",student,student
rxnjvgzd,student,student,student,"('student', 'student', 'student')",student,student
vvpwfqpw,course,course,course,"('course', 'course', 'course')",course,course
wxbhjnn,other,other,other,"('other', 'other', 'other')",other,other
moksh,other,other,other,"('other', 'other', 'other')",other,other
zonegssw,course,course,course,"('course', 'course', 'course')",course,course
vxydxvhn,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
pomrzubt,department,other,department,"('department', 'other', 'department')",department,None
xmrhqtqb,other,student,faculty,"('other', 'student', 'faculty')",faculty,None
goxgfr,student,student,staff,"('student', 'student', 'staff')",student,None
pcfxm,other,other,other,"('other', 'other', 'other')",other,other
sqbpijj,other,other,other,"('other', 'other', 'other')",other,other
unmkyxtt,other,other,other,"('other', 'other', 'other')",other,other
haifof,student,student,student,"('student', 'student', 'student')",student,student
brzpgboe,other,other,other,"('other', 'other', 'other')",other,other
zcprw,student,student,student,"('student', 'student', 'student')",student,student
zxexuw,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ksglvhbn,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
yfygyu,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ckemt,student,student,student,"('student', 'student', 'student')",student,student
ocpni,course,course,course,"('course', 'course', 'course')",course,course
tcpjsr,other,other,other,"('other', 'other', 'other')",other,other
ofkcidqa,student,student,student,"('student', 'student', 'student')",student,student
wsmcxjb,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
vydaya,student,student,student,"('student', 'student', 'student')",student,student
wjdnmh,other,other,faculty,"('other', 'other', 'faculty')",other,None
caeck,student,student,student,"('student', 'student', 'student')",student,student
bwjjh,student,student,staff,"('student', 'student', 'staff')",student,None
jzjei,other,other,other,"('other', 'other', 'other')",other,other
tzzky,other,other,other,"('other', 'other', 'other')",other,other
irhvgjs,other,other,faculty,"('other', 'other', 'faculty')",other,None
jryqezxd,student,student,student,"('student', 'student', 'student')",student,student
irrdkkbn,other,other,other,"('other', 'other', 'other')",other,other
pdqqm,other,other,other,"('other', 'other', 'other')",other,other
ynikxrtr,project,project,project,"('project', 'project', 'project')",project,project
aeohgccl,student,student,student,"('student', 'student', 'student')",student,student
dvtry,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
oyknedm,other,other,other,"('other', 'other', 'other')",other,other
jzoyf,department,department,department,"('department', 'department', 'department')",department,department
szzsbzp,other,other,other,"('other', 'other', 'other')",other,other
digdken,other,other,other,"('other', 'other', 'other')",other,other
bgudhc,course,other,course,"('course', 'other', 'course')",course,None
kuwjxt,other,other,other,"('other', 'other', 'other')",other,other
rcdphl,other,other,other,"('other', 'other', 'other')",other,other
ymako,other,course,other,"('other', 'course', 'other')",other,None
sqwjskg,other,other,other,"('other', 'other', 'other')",other,other
mpejiarb,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ytvco,student,student,student,"('student', 'student', 'student')",student,student
iyemmjpt,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
gevdzsvt,other,other,other,"('other', 'other', 'other')",other,other
ltxmyss,other,other,other,"('other', 'other', 'other')",other,other
znnex,other,other,other,"('other', 'other', 'other')",other,other
obkxqf,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ypxfdn,student,staff,staff,"('student', 'staff', 'staff')",staff,None
vryhvzg,student,student,student,"('student', 'student', 'student')",student,student
lomurthi,other,other,other,"('other', 'other', 'other')",other,other
dfzdiiy,other,faculty,faculty,"('other', 'faculty', 'faculty')",faculty,None
tkkhe,student,student,student,"('student', 'student', 'student')",student,student
dsnfmpl,department,department,department,"('department', 'department', 'department')",department,department
flgtpxn,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
vvnujx,project,project,project,"('project', 'project', 'project')",project,project
ttqpaslw,course,course,course,"('course', 'course', 'course')",course,course
thxcjaib,other,other,other,"('other', 'other', 'other')",other,other
gtxqws,course,course,course,"('course', 'course', 'course')",course,course
vtgaqhef,student,student,student,"('student', 'student', 'student')",student,student
xefhoj,student,student,student,"('student', 'student', 'student')",student,student
bhptsyjz,student,student,student,"('student', 'student', 'student')",student,student
cvxtmt,project,project,project,"('project', 'project', 'project')",project,project
zabhnt,other,other,other,"('other', 'other', 'other')",other,other
ylwraohb,student,student,student,"('student', 'student', 'student')",student,student
okiin,student,student,staff,"('student', 'student', 'staff')",student,None
cnlce,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
plrzpl,faculty,faculty,other,"('faculty', 'faculty', 'other')",faculty,None
llsokyh,student,student,student,"('student', 'student', 'student')",student,student
dhrezf,student,student,student,"('student', 'student', 'student')",student,student
tzloz,project,project,project,"('project', 'project', 'project')",project,project
kypnmal,student,other,student,"('student', 'other', 'student')",student,None
syzkp,other,project,project,"('other', 'project', 'project')",project,None
uazvhld,other,other,other,"('other', 'other', 'other')",other,other
ypwwzekj,course,course,course,"('course', 'course', 'course')",course,course
inlsldab,other,course,other,"('other', 'course', 'other')",other,None
lsfqtx,project,project,project,"('project', 'project', 'project')",project,project
ztoydtcl,staff,staff,staff,"('staff', 'staff', 'staff')",staff,staff
dcbnebw,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
jklzmg,other,other,other,"('other', 'other', 'other')",other,other
sxfkrscz,course,course,course,"('course', 'course', 'course')",course,course
jpxvffy,other,other,other,"('other', 'other', 'other')",other,other
nfdrma,course,course,course,"('course', 'course', 'course')",course,course
mmuuo,course,course,course,"('course', 'course', 'course')",course,course
gzcicjd,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
dupih,other,other,other,"('other', 'other', 'other')",other,other
ufsug,course,course,course,"('course', 'course', 'course')",course,course
gyldrugw,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
cfsvmoen,other,other,other,"('other', 'other', 'other')",other,other
urauv,other,other,other,"('other', 'other', 'other')",other,other
utvxb,student,student,student,"('student', 'student', 'student')",student,student
jctytnm,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
tryacy,other,course,other,"('other', 'course', 'other')",other,None
xtlfyrqe,other,other,other,"('other', 'other', 'other')",other,other
ghxnl,student,student,student,"('student', 'student', 'student')",student,student
rusorxq,other,other,other,"('other', 'other', 'other')",other,other
purnf,department,department,department,"('department', 'department', 'department')",department,department
qtdrqcai,other,other,course,"('other', 'other', 'course')",other,None
dqhfisnj,other,course,course,"('other', 'course', 'course')",course,None
uwnkyw,department,department,department,"('department', 'department', 'department')",department,department
kgmxep,other,other,other,"('other', 'other', 'other')",other,other
nkury,course,course,course,"('course', 'course', 'course')",course,course
mhxvauhj,student,student,student,"('student', 'student', 'student')",student,student
lexfksko,student,student,student,"('student', 'student', 'student')",student,student
asmucefp,other,other,other,"('other', 'other', 'other')",other,other
ayteap,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
smydraa,student,faculty,student,"('student', 'faculty', 'student')",student,None
szvzt,other,other,other,"('other', 'other', 'other')",other,other
zcywupd,project,project,project,"('project', 'project', 'project')",project,project
htbdkait,other,other,other,"('other', 'other', 'other')",other,other
redifgfj,student,student,staff,"('student', 'student', 'staff')",student,None
vukas,other,other,other,"('other', 'other', 'other')",other,other
jxbmfg,other,other,other,"('other', 'other', 'other')",other,other
nzoti,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
tznjyo,course,other,course,"('course', 'other', 'course')",course,None
jxpqg,student,student,student,"('student', 'student', 'student')",student,student
jhptp,project,other,project,"('project', 'other', 'project')",project,None
fudhjb,other,other,other,"('other', 'other', 'other')",other,other
dfvnobj,faculty,student,student,"('faculty', 'student', 'student')",student,None
kvals,other,other,other,"('other', 'other', 'other')",other,other
rjhmytnw,other,other,other,"('other', 'other', 'other')",other,other
zwcgsbo,student,student,student,"('student', 'student', 'student')",student,student
xehjwfv,other,other,course,"('other', 'other', 'course')",other,None
ddwoml,other,other,other,"('other', 'other', 'other')",other,other
zodhxn,other,other,other,"('other', 'other', 'other')",other,other
tnfeezvd,other,project,other,"('other', 'project', 'other')",other,None
lnstrg,project,project,project,"('project', 'project', 'project')",project,project
sfnmxx,course,course,course,"('course', 'course', 'course')",course,course
ifttvly,other,other,staff,"('other', 'other', 'staff')",other,None
qwhqbqtr,other,other,other,"('other', 'other', 'other')",other,other
ecpfwumt,course,course,course,"('course', 'course', 'course')",course,course
gnzbtght,other,other,other,"('other', 'other', 'other')",other,other
aplafmip,faculty,student,faculty,"('faculty', 'student', 'faculty')",faculty,None
mxcxhcl,other,other,other,"('other', 'other', 'other')",other,other
olyhatok,student,student,student,"('student', 'student', 'student')",student,student
estbkk,other,course,course,"('other', 'course', 'course')",course,None
mvlaq,student,student,student,"('student', 'student', 'student')",student,student
oyuuo,other,other,other,"('other', 'other', 'other')",other,other
izhzil,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ythxhd,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
hgmehmo,other,other,project,"('other', 'other', 'project')",other,None
oecphzmr,course,course,course,"('course', 'course', 'course')",course,course
swsuue,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
uxhlojgi,student,student,student,"('student', 'student', 'student')",student,student
tibssnu,other,other,other,"('other', 'other', 'other')",other,other
qetmh,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
samhkjzj,project,project,project,"('project', 'project', 'project')",project,project
hszvzt,other,other,other,"('other', 'other', 'other')",other,other
hyutx,student,staff,student,"('student', 'staff', 'student')",student,None
ioxoxekd,other,other,other,"('other', 'other', 'other')",other,other
tbhhyctl,other,other,other,"('other', 'other', 'other')",other,other
pdmah,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ptfmkkg,other,other,other,"('other', 'other', 'other')",other,other
oaabx,other,other,other,"('other', 'other', 'other')",other,other
hbobpex,project,other,project,"('project', 'other', 'project')",project,None
hmidet,student,student,student,"('student', 'student', 'student')",student,student
khcaied,project,project,project,"('project', 'project', 'project')",project,project
vyiacx,other,other,other,"('other', 'other', 'other')",other,other
aykqf,other,other,other,"('other', 'other', 'other')",other,other
fmjcrj,other,other,other,"('other', 'other', 'other')",other,other
xyufofwi,other,other,other,"('other', 'other', 'other')",other,other
bhjnxfeq,student,student,student,"('student', 'student', 'student')",student,student
ucqabpbo,other,other,other,"('other', 'other', 'other')",other,other
txnig,student,student,student,"('student', 'student', 'student')",student,student
txyyqtyg,department,department,department,"('department', 'department', 'department')",department,department
setevnrs,course,course,course,"('course', 'course', 'course')",course,course
oatzro,other,department,other,"('other', 'department', 'other')",other,None
czkze,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
lnezhnb,department,department,department,"('department', 'department', 'department')",department,department
udfqv,student,student,other,"('student', 'student', 'other')",student,None
ilktf,student,student,student,"('student', 'student', 'student')",student,student
vbvejg,other,other,other,"('other', 'other', 'other')",other,other
zemgq,student,student,student,"('student', 'student', 'student')",student,student
rxzeli,course,course,course,"('course', 'course', 'course')",course,course
xegyoao,student,student,student,"('student', 'student', 'student')",student,student
clkaoj,course,course,course,"('course', 'course', 'course')",course,course
xpajbs,other,other,other,"('other', 'other', 'other')",other,other
uehan,other,other,other,"('other', 'other', 'other')",other,other
reukyfwa,student,student,student,"('student', 'student', 'student')",student,student
woamr,course,course,course,"('course', 'course', 'course')",course,course
qiswj,other,other,other,"('other', 'other', 'other')",other,other
rjqcds,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ootxjgh,other,other,other,"('other', 'other', 'other')",other,other
rbylaaw,student,student,student,"('student', 'student', 'student')",student,student
ogtvbzty,other,other,other,"('other', 'other', 'other')",other,other
mziqqxrl,other,student,student,"('other', 'student', 'student')",student,None
wdmhyym,course,course,course,"('course', 'course', 'course')",course,course
bfiznf,other,other,other,"('other', 'other', 'other')",other,other
fzuwzk,student,student,student,"('student', 'student', 'student')",student,student
nhumd,other,other,other,"('other', 'other', 'other')",other,other
aunqt,course,course,course,"('course', 'course', 'course')",course,course
ampuskyi,project,project,project,"('project', 'project', 'project')",project,project
smjotpto,course,course,course,"('course', 'course', 'course')",course,course
lkyjhgjr,other,other,other,"('other', 'other', 'other')",other,other
ryvjcfnj,course,course,course,"('course', 'course', 'course')",course,course
nqnor,other,other,other,"('other', 'other', 'other')",other,other
charmfhj,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ondlxia,department,department,department,"('department', 'department', 'department')",department,department
gqgtsy,other,other,other,"('other', 'other', 'other')",other,other
pdwmhrga,course,course,course,"('course', 'course', 'course')",course,course
wzkfopvp,student,student,student,"('student', 'student', 'student')",student,student
jspgm,other,other,other,"('other', 'other', 'other')",other,other
fnsurvey,course,course,course,"('course', 'course', 'course')",course,course
jqbuixz,student,student,student,"('student', 'student', 'student')",student,student
nrqtkx,student,student,student,"('student', 'student', 'student')",student,student
qvgvh,project,project,other,"('project', 'project', 'other')",project,None
reraeopq,other,other,other,"('other', 'other', 'other')",other,other
jcalgzyq,staff,staff,staff,"('staff', 'staff', 'staff')",staff,staff
azndzp,other,department,department,"('other', 'department', 'department')",department,None
qjaaazpc,other,other,other,"('other', 'other', 'other')",other,other
qnoufgn,student,student,student,"('student', 'student', 'student')",student,student
xhfqxyg,other,other,other,"('other', 'other', 'other')",other,other
fqnaj,student,student,student,"('student', 'student', 'student')",student,student
ckhzgl,project,project,project,"('project', 'project', 'project')",project,project
uaalnyoj,course,course,course,"('course', 'course', 'course')",course,course
smffe,other,other,other,"('other', 'other', 'other')",other,other
gkvqoukw,other,project,other,"('other', 'project', 'other')",other,None
efkum,other,other,other,"('other', 'other', 'other')",other,other
zpeuuxw,student,student,student,"('student', 'student', 'student')",student,student
rngiu,other,other,other,"('other', 'other', 'other')",other,other
jmiqllv,other,other,other,"('other', 'other', 'other')",other,other
anpusdof,course,course,course,"('course', 'course', 'course')",course,course
tsceov,student,student,student,"('student', 'student', 'student')",student,student
fbzij,other,other,other,"('other', 'other', 'other')",other,other
kiqge,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
iplufn,course,other,course,"('course', 'other', 'course')",course,None
tgiyn,course,course,course,"('course', 'course', 'course')",course,course
akbfdvs,student,student,student,"('student', 'student', 'student')",student,student
epftt,other,other,other,"('other', 'other', 'other')",other,other
amvukjdd,other,other,other,"('other', 'other', 'other')",other,other
unbawwp,staff,staff,student,"('staff', 'staff', 'student')",staff,None
klpyg,other,other,other,"('other', 'other', 'other')",other,other
wrwgeb,other,other,other,"('other', 'other', 'other')",other,other
rseuer,staff,staff,staff,"('staff', 'staff', 'staff')",staff,staff
sokrdvej,student,student,student,"('student', 'student', 'student')",student,student
wvxmnt,other,other,other,"('other', 'other', 'other')",other,other
vsscij,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
qkqvjt,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
jzoegbn,student,student,student,"('student', 'student', 'student')",student,student
lawengc,course,course,course,"('course', 'course', 'course')",course,course
ffcrqo,course,course,course,"('course', 'course', 'course')",course,course
xbodwpf,other,other,other,"('other', 'other', 'other')",other,other
zlsqsds,student,student,student,"('student', 'student', 'student')",student,student
ybmlhz,student,student,student,"('student', 'student', 'student')",student,student
jjdohqq,course,course,course,"('course', 'course', 'course')",course,course
aljsfwq,student,student,student,"('student', 'student', 'student')",student,student
ekwtr,other,project,other,"('other', 'project', 'other')",other,None
lynsj,student,faculty,student,"('student', 'faculty', 'student')",student,None
tpedb,other,other,other,"('other', 'other', 'other')",other,other
wzbpymob,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
xigmw,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
smqmlfgn,student,student,student,"('student', 'student', 'student')",student,student
huovxti,other,project,project,"('other', 'project', 'project')",project,None
ijoyru,other,other,other,"('other', 'other', 'other')",other,other
gtdarzt,other,other,other,"('other', 'other', 'other')",other,other
oxvcgj,other,other,other,"('other', 'other', 'other')",other,other
ortvnlou,other,other,other,"('other', 'other', 'other')",other,other
kbsxru,course,course,course,"('course', 'course', 'course')",course,course
irjhn,other,other,other,"('other', 'other', 'other')",other,other
pspktcof,student,student,student,"('student', 'student', 'student')",student,student
wtvjwt,student,student,student,"('student', 'student', 'student')",student,student
rhsep,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ddlpfjed,student,student,student,"('student', 'student', 'student')",student,student
bjzfnftw,project,project,other,"('project', 'project', 'other')",project,None
ovfkp,student,student,student,"('student', 'student', 'student')",student,student
