title,body,links,label
UW-Madison: Local Links ,Qualifying Exam in AI UW-Madison Computer Sciences Dept UW-Madison School of Letters & Sciences (home of the CS Dept) UW-Madison Graduate School UW-Madison Extension UW-Madison Library UW-Madison Home Page (hopefully this is under construction!),"['http://www.cs.wisc.edu/~dyer/images/madspxs-interlaced.gif', 'http://www.cs.wisc.edu/~shavlik//~shavlik/cs540-all.html', 'http://www.cs.wisc.edu/~shavlik//~shavlik/aisem/aisem.html']",other
CSE 135 Announcements,"Date: Mon, 02 Dec 1996 14:29:52 GMT Server: NCSA/1.4.2 Content-type: text/html CSE 135 Announcements CSE 135: Important Announcements Check this page regularly for important announcements.","['announcements/053195.html', 'announcements/042695.html', 'announcements/042495.html']",other
Gaetano Borriello - Publications,G. Borriello.,"['mailto:gaetano@cs.washington.edu', 'http://www.cs.washington.edu/homes/gaetano']",other
Late Policy,"The following late policy is provided in case of emergencies, and is not to be used carelessly.","['mailto:greg@cs.wisc.edu', 'http://www.cs.wisc.edu/~greg']",other
"CSE/EE 461 Projects
","Project 3 ( LaTeX , PS ), due May 29, 11:30pm .","['doc/doc.html', 'doc.tex', 'doc.ps']",other
CS111 Spring 96 Procedures Project,Player 1 won 33.3333   % of the games.,[],other
EOSDIS Bookmarks of vbb,"MIME-Version: 1.0 Server: CERN/3.0 Date: Tuesday, 07-Jan-97 14:44:02 GMT Content-Type: text/html Content-Length: 34339 Last-Modified: Saturday, 21-Sep-96 03:55:56 GMT EOSDIS Bookmarks of vbb <!-- Compiled by V. B. Balayoghan (vbb@cs.utexas.edu)>","['#SITES', '#DOCS', '#PEOPLE']",other
Technical Reports,"Date: Tue, 14 Jan 1997 19:52:26 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 1002 Last-modified: Wed, 02 Oct 1996 14:22:01 GMT Technical Reports Technical Reports are available from the following sources: Dienst Technical Report Server (temporarily offline) Local Catalog of Technical Reports Local/Restricted forms for submitting reports and other data: Global Data Entry Forms Local Data Entry Forms Restricted Data Entry Forms","['http://www.cs.iastate.edu/index.html', 'http://www.cs.iastate.edu/tech-reports/catalog.html', 'http://www.cs.iastate.edu/forms/global/index.html']",other
Our new house!,"MIME-Version: 1.0 Server: CERN/3.0 Date: Sunday, 24-Nov-96 23:06:34 GMT Content-Type: text/html Content-Length: 648 Last-Modified: Monday, 08-Jul-96 17:25:03 GMT Our new house!","['anneke/house.gif', 'http://www.proximus.com/cgi-bin/webmap?Template=lycos&Context=-76.5014,42.4507,40000,0,0&Icon=Smallcross%2C%2C-76.501369%2C42.450676&Width=425&Height=250&Level=%2D1&Usertext=100+Franklin+St+/+Ithaca%2C+NY+14850', 'http://interest.com/news.htm']",other
SPIN WEB SERVER,"Language Support for Extensible Operating Systems We've been pretty happy with M3, but we've had to deal with a few shortcomings in order to use the language in a safe extensible operating system.","['http://www-spin.cs.washington.edu/www/external/members.html', 'mailto:spin@cs.washington.edu', 'http://www-spin.cs.washington.edu/commands.html']",other
More about Manuvir,"Anyway, I won't tell you her name, but I was young and optimistic and I thought it would be nice to cut the phone bills and hang out in the same place for a change.","['http://www.cs.wisc.edu/~manuvir/bottle.html', 'http://www.cs.wisc.edu/~manuvir/bottle.html', 'http://www.cs.wisc.edu/~manuvir/images/staff.gif']",other
"
TAs for CS304P FALL 1996
","MIME-Version: 1.0 Server: CERN/3.0 Date: Monday, 06-Jan-97 20:49:05 GMT Content-Type: text/html Content-Length: 355 Last-Modified: Sunday, 22-Sep-96 19:04:45 GMT TAs for CS304P FALL 1996 TAs for CS304P (Porter) Fall 1996 TAs Office Hours Lab and Discussion Sectio n Schedule","['http://www.cs.utexas.edu/users/dwip/cs304p/ta_offhrs.html', 'http://www.cs.utexas.edu/users/dwip/cs304p/ta_lec_dis_schedule.html']",other
CSE467 Schedule,"Date: Mon, 02 Dec 1996 15:11:36 GMT Server: NCSA/1.4.2 Content-type: text/html CSE467 Schedule CSE467: Advanced Logic Design Carl Ebeling, Spring 1996 List of topics and concepts covered this quarter: Truth tables and structured logic implementations PAL architectures and implementation issues PROM implementation of functions PLAs Multiplexors for functions Decoders and large decoder structures Tristate logic for multiplexing and busses TTL and CMOS logic families and interfacing issues Voltage levels and noise margins Current sink and drive capabilities of logic families Mixed logic notation, deMorgan's law Synchronous circuit design methodologies Timing characteristics of registers: setup/hold constraints and propagation delays Effects of clock skew Asynchronous inputs, ""synchronizers"" and metastability problems Finite state machine models: Mealy vs. Moore machines State diagrams and compiling to state tables and circuit implementation PLD implementation of state machines FGPA architectures: logic blocks and routing structures FPGA design methodologies and CAD tools: place and route 2-level logic minimization Multi-output function minimization Multilevel logic synthesis Algebraic and boolean division, kernel and cube factors Logic transformations including factoring and Shannon decomposition Techniques for mapping complex functions to PLDs Memory structures and control Static RAM architecture and timing Dynamic RAM architecture and timing Serial communication ABEL programming Oscilloscopes and Logic Analyzers ebeling@cs.washington.edu",[],other
"
Today's Fortune cookie
","MIME-Version: 1.0 Server: CERN/3.0 Date: Tuesday, 07-Jan-97 14:43:52 GMT Content-Type: text/html Content-Length: 264 Today's Fortune cookie Today's Chinese Proverb Reads :",[],other
Sound Editor,Amplitude Scaling This function is used to modify the amplitude of a range of samples to effect an increase or decrease in volume.,"['http://www.cs.cornell.edu/Info/People/szuwen/szuwen.html', 'http://www.cs.cornell.edu/Info/People/szuwen/cs631/final.html', 'mailto:szuwen@cs.cornell.edu']",other
Computation & Neural Systems Home Page,"Date: Wed, 15 Jan 1997 02:16:58 GMT Server: NCSA/1.4.1 Content-type: text/html Last-modified: Tue, 26 Nov 1996 00:41:56 GMT Content-length: 5576 Computation & Neural Systems Home Page Computation & Neural Systems at the California Institute of Technology Interdisciplinary graduate program for studying the biological and engineering aspects of sensory-motor processing, learning and memory, leading to a PhD in ""Computation and Neural Systems"" PhD Program Students Faculty Research Groups CNS Graduates CNS2000 & the 100 Questions Neuromorphic Engineering Sloan Center for Theoretical Neurobiology Hebrew University Exchange Program Doctoral Dissertations CNS Related Research Groups Resources Classes Seminars Mailing Lists Tangents Make a Suggestion About This Web Site Last Updated on 1996.10.15","['http://www.caltech.edu', 'http://www.cns.caltech.edu/Info/Introduction.html', 'http://www.cns.caltech.edu/Info/Introduction.html']",other
Send Manuvir Some E-mail,"Date: Tue, 05 Nov 1996 21:10:10 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Thu, 05 Oct 1995 18:15:14 GMT Content-length: 611 Send Manuvir Some E-mail If you want to send me some mail through the web and you aren't a security freak, you can do it by clicking here.","['mailto:manuvir@cs.wisc.edu', 'http://www.cs.wisc.edu/cgi-bin/finger?manuvir@captn-hook']",other
 Lorenzo Alvisi's Publications ,Parallel Scientific Computing in Distributed Systems: The Paralex Approach.,"['ftp://ftp.cs.utexas.edu/pub/lorenzo/paralex/design.ps', 'http://www.cs.unibo.it', 'ftp://ftp.cs.utexas.edu/pub/lorenzo/podc.ps']",other
John B Chambers: Current Interests,"MIME-Version: 1.0 Server: CERN/3.0 Date: Monday, 06-Jan-97 21:06:07 GMT Content-Type: text/html Content-Length: 1128 Last-Modified: Wednesday, 04-Dec-96 19:01:02 GMT John B Chambers: Current Interests Current Interests I'm especially interested in topics at the operations research / computer science interface , with a particular focus on adaptive heuristics for difficult optimization problems in operations management.","['http://www.informs.org/General/Orms.html', 'http://www.math.clemson.edu/INFORMS/CSTS/', '/users/jbc/home/diss.html']",other
Breast Cancer Diagnosis and Prognosis via Linear Programming ,"The prognostic system has an expected error of 13.9 to 18.3 months, which is better than prognosis correctness by other available techniques.","['http://www.cs.wisc.edu/Dienst/Repository/2.0/Body/ncstrl.uwmadison%2fMP-TR-94-10/postscript', 'http://www.cs.wisc.edu/Dienst/UI/2.0/Print/ncstrl.uwmadison%2fMP-TR-94-10', 'http://www.cs.wisc.edu/Dienst/UI/2.0/Search']",other
"
Meetings
","Date: Tue, 10 Dec 1996 15:15:14 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Sun, 16 Jul 1995 20:50:42 GMT Content-length: 173 Meetings",[],other
Artificial Muscle Project - Presentations,"Date: Tue, 14 Jan 1997 19:07:32 GMT Server: Apache/1.2-dev Connection: close Content-Type: text/html Last-Modified: Sun, 03 Sep 1995 02:58:07 GMT ETag: ""cbab7-261-304919bf"" Content-Length: 609 Accept-Ranges: bytes Artificial Muscle Project - Presentations International Conference on Intelligent Materials, June 5, 1994 A Dynamic Model of a Linear Actuator based on Polymer Hydrogel","['http://www.ai.mit.edu/projects/muscle/presentations/icim94/icim94.html', 'http://www.ai.mit.edu/projects/muscle/presentations/icim94/present.html']",other
ACM at UCSB,"Date: Wed, 15 Jan 1997 00:34:36 GMT Server: Apache/1.0.2 Content-type: text/html Content-length: 1670 Last-modified: Tue, 30 Jul 1996 22:52:17 GMT ACM at UCSB The Association for Computing Machinery This Year's Events.","['http://www.cs.ucsb.edu/~acm/events.html', 'http://www.cs.ucsb.edu/~acm/join.html', 'http://info.acm.org/']",other
"
Cs221 004 Program4
","Otherwise, evaluation will be based heavily on the organization you give your solution by using subroutines and functions.",[],other
CS 302: Tsao: Disk Organization (Using Subdirectories),"If you already have made a program but want to move it to a newly created subdirectory, use should use the File Manager to move the files: First, create a new subdirectory using the first 3 steps above.","['http://www.cs.wisc.edu/~cs302/newdir.gif', 'http://www.cs.wisc.edu/~cs302/cs302.html', 'http://www.cs.wisc.edu/~tsao/cs302.html']",other
"
Welcome  directory",Welcome  directory Welcome .cache .cache+ .message aminet incoming MAC_UPLOADS MSDOS_UPLOADS README UNIX_UPLOADS WINDOWS_UPLOADS,"['/.cache', '/.cache+', '/.message']",other
 CTC - Advanced Computing Research Institute ,"Date: Sun, 01 Dec 1996 20:25:53 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Wed, 20 Nov 1996 15:15:44 GMT Content-length: 369 CTC - Advanced Computing Research Institute CORNELL UNIVERSITY Advanced Computing Research Institute To learn about the Advanced Computing Research Institute, the ACRI, click here .",['http://www.cs.cornell.edu/Info/Projects/ACRI/'],other
CS367 Programming Assignments,"If you find that you are having difficulty finishing an assignment, or are just running out of time, rather engaging in some form of academic misconduct , see the TAs or me for help, or make use of the late policy .","['http://www.cs.wisc.edu/~cs367-4/working/working.html', 'http://www.cs.wisc.edu/~cs367-4/standards.html', 'http://www.cs.wisc.edu/~cs367-4/working/script.html']",other
CS 110 Section 2 Lecture Notes - Week 4,"DO/END DO , DO WHILE/END DO and DO/CONTINUE statement.","['http://www.cs.wisc.edu/~bestor/cs302/cs302.html#text', 'http://www.cs.wisc.edu/~bestor/bestor.html', 'mailto:bestor@cs.wisc.edu']",other
My Links ,"Date: Wed, 15 Jan 1997 00:15:57 GMT Server: NCSA/1.5.1 Last-modified: Mon, 07 Oct 1996 21:47:26 GMT Content-type: text/html Content-length: 1513 My Links Publications SunWorld Online Organizations USENIX Introductions Excellent source for HTML Guides Operating Systems Plan 9 from ATT Berkeley 4.4 Windows NT mach Sun Solaris Other Courses USC Course Distributed Systems Nexus List ofMost Distributed Research Projects SysAdmin FAQ Sun SysAdmin Last modified Sep. 1, 1996 by mike@cs.hmc.edu","['http://www.sun.com/sunworldonline', 'http://www.usenix.org', 'http://union.ncsa.uiuc.edu/HyperNews/get/www/html/guides.html']",other
 Featured Items ,"Date: Tue, 10 Dec 1996 22:41:23 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Sat, 02 Nov 1996 20:56:23 GMT Content-length: 1999 Featured Items This Month's Featured Item Drugs and the CIA -- the San Jose Mercury News finally brings to the masses what the Christic Institute told us more than a decade ago!","['http://www.sjmercury.com/drugs/stories.htm', 'http://hoshi.cic.sfu.ca/adbusters/Corporate/charter.html', 'http://www.cs.washington.edu/homes/pardo/legeth.d/assault.txt']",other
Parallel Computing,"Date: Tue, 14 Jan 1997 23:52:56 GMT Server: NCSA/1.5.2 Last-modified: Wed, 22 Jun 1994 16:47:23 GMT Content-type: text/html Content-length: 2948 Parallel Computing Parallel Computing Algorithms: Agha , Gallopoulos , Heath , Kaplan , Reed , Saied , Saylor , Torrellas , Vaidya Compilers: Agha , Chien , Johnson , Kale , Kaplan , Padua , Torrellas Computer Systems: Agha , Campbell , Chien , Gallopoulos , Kale , Kaplan , Lawrie , Padua , Reed , Torrellas , Vaidya Fine-Grained Systems: Chien , Gallopoulos Languages: Agha , Chien , Johnson , Kale , Kaplan , Padua , Torrellas Memory Hierarchies: Torrellas Operating Systems: Torrellas Shared-Memory Multiprocessors: Torrellas Go back to Research Areas Index","['http://www.cs.uiuc.edu/CS_INFO_SERVER/DEPT_INFO/CS_FACULTY/FAC_HTMLS/agha.html', 'http://www.cs.uiuc.edu/CS_INFO_SERVER/DEPT_INFO/CS_FACULTY/FAC_HTMLS/gallopoulos.html', 'http://www.cs.uiuc.edu/CS_INFO_SERVER/DEPT_INFO/CS_FACULTY/FAC_HTMLS/heath.html']",other
Introduction to Mathematical Logic,Text: Problems and Theorems in Logic by Vladimir Lifschitz.,"['mailto:vl@cs.utexas.edu', 'http://www.cs.utexas.edu/users/vl/logic.ps', 'http://www.cs.utexas.edu/users/vl']",other
The Committee,"Date: Tue, 05 Nov 1996 21:51:00 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Sun, 21 Apr 1996 02:50:02 GMT Content-length: 633 The Committee The Committee Nate Bockrath Nick Leavy Chris Weaver","['http://www.cs.wisc.edu/~bockrath/bockrath.html', 'http://www.cs.wisc.edu/~leavy/leavy.html', 'http://www.cs.wisc.edu/~weaver/weaver.html']",other
dylan's ramblings,I've just added a list of Things I Like .,"['http://www.cs.washington.edu/homes/dylan/dylanFaq.html', 'http://www.cs.washington.edu/homes/dylan/index.html', 'http://www.cs.washington.edu/homes/dylan/ilike.html']",other
"
Questioner Project
","Date: Tue, 10 Dec 1996 23:17:42 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Mon, 29 Jan 1996 06:05:31 GMT Content-length: 666 Questioner Project Questioner A system for interactive multimedia questionnaire design and administration.","['questioner/orig/paper.html', 'index.html', 'mailto:jbaer@cs.washington.edu']",other
Fortran D95 Compiler Overview,"CP: [example] eliminate communication for references local to that CP eliminate redundant communication by coalescing determine communication pattern perform message coalescing optimization Limitations (November 1995) assume one single reaching layout per reference conservative unless single processors statement, perfect alignment, and same number of distributed dimensions communication pattern recognition is somewhat limited dataflow analysis for eliminating partial redundancies and latency hiding not yet fully in place Code Generation Principal Functionality [source for running example] Computation partitioning transformations: reduce loop bounds and insert guards where necessary [example] separate loop iterations that might access non-local values to minimize overhead from runtime locality checks [example] Communication generation and storage management: compute data sets to send/recv between processor pairs generate code to pack/unpack buffers and send/recv data [example] generate run-time dynamic storage management to cope with dynamic layouts [example] localize and linearize subscripts [example] Current Strategy Except for storage management, all the code generation tasks require heavy manipulation of integer sets, especially for compiling regular applications for distributed-memory machines.","['http://softlib.rice.edu/fortran-tools/fortran-tools.html', 'http://www.cs.rice.edu/CRPC.html', 'http://www.rice.edu/']",other
Multi-Procedure Program Integration ,"A better solution is the use of a \fIprogram integration tool\fP\(ema tool that takes as input several variants of a @base@ program, automatically determines the changes in each variant with respect to the @base@ program, and incorporates these changes, along with the portion of the @base@ program preserved in all the variants, into a merged program.","['http://www.cs.wisc.edu/Dienst/Repository/2.0/Body/ncstrl.uwmadison%2fCS-TR-91-1038/html', 'http://www.cs.wisc.edu/Dienst/UI/2.0/Search', 'mailto: www@cs.wisc.edu']",other
CSE370 E-mail,"Date: Mon, 02 Dec 1996 14:37:56 GMT Server: NCSA/1.4.2 Content-type: text/html CSE370 E-mail CSE370 E-mail Here are the mailing addresses you should use to get in touch with CSE 370 staff and fellow students.","['mailto:cse370-instructor@cs', 'mailto:cse370-head-ta@cs', 'mailto:cse370-webmaster@cs']",other
creativity,"Date: Tue, 10 Dec 1996 21:27:23 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Thu, 08 Aug 1996 23:58:36 GMT Content-length: 1445 creativity creativity collage sheba [a correspondence] mail art poetry photos image warping grid art Grand Poobah Photo Shoot [a portrait] Mike Perkowitz","['http://www.cs.washington.edu/homes/map/art/collage/', 'http://www.cs.washington.edu/homes/map/art/sheba/', 'http://www.cs.washington.edu/homes/map/art/mail/']",other
"CSSA at Cornell University
","Date: Sun, 01 Dec 1996 20:09:42 GMT Server: NCSA/1.4 Content-type: text/html Last-modified: Fri, 20 Sep 1996 19:37:58 GMT Content-length: 395 CSSA at Cornell University This page is permanetly moved to http://www.sas.cornell.edu:8000/CSSA Please update your bookmark.",['http://www.sas.cornell.edu:8000/CSSA'],other
CS 306: Assignment 9,"MIME-Version: 1.0 Server: CERN/3.0 Date: Monday, 06-Jan-97 20:05:30 GMT Content-Type: text/html Content-Length: 271 Last-Modified: Wednesday, 02-Oct-96 23:19:45 GMT CS 306: Assignment 9 CS 306: Assignment 9",[],other
Dr. Bart Childs,"""Symbolic Computing, Automatic Programming, and Literate Programming,"" with Tim McGuire, Computational Techniques and Applications Conference , Adelaide, Australia, July 15-17, 1991.",[],other
CS536 Examinations,"Date: Tue, 05 Nov 1996 20:52:37 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Tue, 22 Oct 1996 18:46:05 GMT Content-length: 1221 CS536 Examinations CS536 Examinations Schedule Midterm Wednesday, October 23 (tentative) 7:15 - 9:15pm room 1240 CS Exam topics Final Monday, December 16 5:05pm - 7:05pm location to be announced Old Exams Midterm Exam - Spring 1996 Final Exam - Spring 1996 Exam 1 - Fall 1991 Exam 2 - Fall 1991 Exam 3 - Fall 1991 Exam 1 - Fall 1990 Exam 2 - Fall 1990 Exam 3 - Fall 1990 Old Exam Answers Spring 96 Midterm Exam Answers","['http://www.cs.wisc.edu/~cs536-1/exams/ex1-topics', 'http://www.cs.wisc.edu/~cs536-1/exams/spr96.ex1.ps', 'http://www.cs.wisc.edu/~cs536-1/exams/spr96.ex2.ps']",other
Artificial Intelligence at the University of Washington,"Date: Tue, 10 Dec 1996 03:33:03 GMT Server: NCSA/1.4.2 Content-type: text/html Artificial Intelligence at the University of Washington People Research Projects Papers and Software AI Resources Back to CSE Home Page AI icons designed by: Taweewan Siwadune Access Count:","['http://www.cs.washington.edu/research/projects/ai/www/people.html', 'http://www.cs.washington.edu/research/projects/ai/www/people.html', 'http://www.cs.washington.edu/research/projects/ai/www/current_projects.html']",other
CSE 321 Assignment #6,Compute the conditional probability that the 3rd door (not the chosen one nor the opened one) conceals a good prize.,[],other
Links To Friends' Home Pages,"Date: Tue, 05 Nov 1996 21:05:28 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Tue, 03 Sep 1996 16:31:48 GMT Content-length: 1132 Links To Friends' Home Pages Friends with Home Pages: From Salt Lake: Christian Pariseau From Lewis and Clark College: Raven Winter Jon Herlocker From Madison: Brian Bauman Other Miscellaneous links A collection of miscellaneous art Pictures from the Hubble Space Telescope dailey@cs.wisc.edu Tues July 18 10:37:47 1995","['http://www.cc.utah.edu/~cp6308/', 'http://www.nutech.com/raven/', 'http://www.cs.umn.edu/~herlocke']",other
"GVU: Norberto F. Ezquerra - Technical and Scientific
Issues","How can complex visualization models, or interpretations of these models, be communicated easily and unambiguously to someone else?","['http://www.gatech.edu/', 'http://www.cc.gatech.edu/gvu/', 'http://www.cc.gatech.edu/gvu/research/']",other
 Sieg 431 ,"Date: Tue, 10 Dec 1996 17:44:34 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Sat, 05 Oct 1996 00:33:48 GMT Content-length: 697 Sieg 431 Welcome to Sieg 431!!!","['http://www.cs.washington.edu/homes/marla', 'http://www.cs.washington.edu/homes/molly', 'http://www.cs.washington.edu/homes/chou']",other
 Instruction-Set Simulation and Tracing ,"Date: Tue, 10 Dec 1996 22:41:53 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Mon, 20 Nov 1995 00:53:32 GMT Content-length: 1168 Instruction-Set Simulation and Tracing Instruction-Level Simulation And Tracing WARNING: THESE PAGES ARE STILL UNDER CONSTRUCTION.","['./index1.d/Index.html', './index1.d/Index.html.gz', './index2.d/Index.html']",other
Using Emacs,"Lots of the things that I'm about to explain to you are bound to be in the menus as well, but I don't know for sure.",['http://www.cs.washington.edu/education/courses/341/spring96/help/emacs.clip.html'],other
CJCJCJCJCJCJCJCJCJCJ,"Date: Tue, 10 Dec 1996 18:00:31 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Sun, 14 Apr 1996 06:57:00 GMT Content-length: 442 CJCJCJCJCJCJCJCJCJCJ Christie us?","['resume.html', 'mailto:fix@cs.washington.edu']",other
UT Parallel and Distributed Systems Lab,"Server: Netscape-Communications/1.1 Date: Monday, 06-Jan-97 22:59:00 GMT Last-modified: Monday, 23-Sep-96 22:36:23 GMT Content-length: 2078 Content-type: text/html UT Parallel and Distributed Systems Lab The Parallel and Distributed Systems Laboratory at the University of Texas at Austin Laboratory Research: Technical Reports Project Groups Faculty Members: Craig Chase Vijay Garg Aleta Ricciardi Graduate Students: Om Damani Brian Grayson Richard Kilgore Yufeng Luo Roger Mitchell Venkatesh Murty Eric Rothfus Aman Sinha Chakarat Skowratananont Pawan Uppuluri Former Graduate Students: Darren Cofer Alex Tomlinson If you have questions about this page, send email to: mitchell@pine.ece.utexas.edu Last modified Fri March 8, 1996.","['http://maple.ece.utexas.edu/TechReports/TR.bynumber.html', 'http://maple.ece.utexas.edu/~vijay/projects.html', 'http://www.ece.utexas.edu/ece/people/profs/Chase.html']",other
"More Introduction to the Lab (hello, observe)",This command will call the C++ compiler but will also tell the compiler where to look for our string class and to link it in when we use it.,[],other
 The Real Anindya ,"MIME-Version: 1.0 Server: CERN/3.0 Date: Sunday, 01-Dec-96 18:19:53 GMT Content-Type: text/html Content-Length: 493 Last-Modified: Saturday, 02-Sep-95 21:59:06 GMT The Real Anindya What Anindya really looks like Heh-heh-heh, I am the guy on the left heh-heh-heh-uh-huh, cool!","['http://www.cs.cornell.edu/Info/People/basu/home.html', 'http://www.cs.cornell.edu:8000']",other
j ward shade pages -- Schedule,"Date: Thu, 16 Jan 1997 03:32:20 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Tue, 05 Nov 1996 18:02:26 GMT Content-length: 2473 j ward shade pages -- Schedule Daily Schedule Spring 96 Monday Tuesday Wednesday Thursday Friday 9:00 9:30 10:00 10:30 GRAIL mtg 11:00 GRAIL mtg 11:30 12:00 12:30 590 G 1:00 590 G 1:30 2:00 2:30 3:00 3:30 519 590 B 520 590 S 4:00 519 590 B 520 590 S 4:30 Research mtg 590 B 5:00 Research mtg 5:30","['http://www.cs.washington.edu/research/projects/grail2/www/index.html', 'http://www.cs.washington.edu/research/projects/grail2/www/index.html', 'http://www.cs.washington.edu/education/courses/590g']",other
SANCTUARY,"Date: Tue, 10 Dec 1996 22:32:39 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Fri, 24 May 1996 22:46:47 GMT Content-length: 2044 SANCTUARY Art by Ikegami Ryouichi Written by Fumimura Sho SANCTUARY is a  story about two young men working together to change the shape of Tokyo's politics - one by becoming a politician, and the other by becoming a Yakuza.","['http://www.cs.washington.edu/homes/ctkwok/sanctuary/sanct-manga.html', 'http://www.cs.washington.edu/homes/ctkwok/sanctuary/sanct-cover.html', 'http://www.cs.washington.edu/homes/ctkwok/index.html']",other
 CUinfo -Ithaca,Life in the Ithaca Area ...information about the Ithaca community.,"['/CUinfo.html', '#Info', 'http://www.cornell.edu/cgi-bin/ithaca_date']",other
 Research Overview,"Date: Wed, 15 Jan 1997 01:08:38 GMT Server: NCSA/1.5.2 Content-type: text/html Research Overview RESEARCH INTERESTS Computational Geometry Traffic Management in Integrated Networks Algorithms for ATM Network Design Approximation Algorithms GEOMETRY RESOURCES ON THE WEB Computational Geometry Software Geometry in Action The Stony Brook Algorithm Repository Minnesota Geometry Center LEDA: Library of Efficient Data Structures and Algorithms Back to Subhash Suri's Home Page.","['http://www.cs.wustl.edu/~suri/compgeom.html', 'http://www.cs.wustl.edu/~suri/fairqueue.html', 'http://www.cs.wustl.edu/~suri/atm.html']",other
Address,"MIME-Version: 1.0 Server: CERN/3.0 Date: Sunday, 01-Dec-96 18:48:27 GMT Content-Type: text/html Content-Length: 432 Last-Modified: Monday, 16-Jan-95 19:25:06 GMT Address Address and stuff Department: Jonathan Swartz Department of Computer Science 4130 Upson Hall Cornell University Ithaca, NY  14853-7501 Department fax: (607) 255-4428 Office: Upson Hall 5153 (607) 255-1237 Home: Jonathan Swartz 523 Spencer Road Ithaca, NY  14850 (607) 273-4642",[],other
IBM Stuff,"MIME-Version: 1.0 Server: CERN/3.0 Date: Monday, 06-Jan-97 21:05:03 GMT Content-Type: text/html Content-Length: 646 Last-Modified: Tuesday, 07-Feb-95 14:09:57 GMT IBM Stuff Interesting pages (OK, as interesting as IBM pages can be) IBM Home Page Colorado AIX Users Group Home Page RS6000 FAQ AIX Technical Hints and Tips","['http://www.ibm.com', 'http://www.csn.org/~hgrapek/AIXUG/Home.html', 'http://www-resus.univ-mrs.fr/Us/CS/RS6000.html']",other
Marc Langheinrich's Resume,"Experience Research Assistant Department of Computer Science , University of Washington, USA Summer 1996 Development of Web Agent software for the research project "" Ahoy!","['http://www.uni-bielefeld.de', 'http://www.techfak.uni-bielefeld.de/techfak/studiengang.html', 'http://www.techfak.uni-bielefeld.de/techfak/techfakengl.html']",other
 PyraMania Home Page,He has a radar to locate the enemies and tanks and a lasser to shoot the enemy spaceships.,[],other
CSE 321 Assignment #7,"Problems: page 364, Problem 4. page 366, Problem 28 (a), (b).",[],other
QR Book,"This book may become a very important book for Geographic Systems and for geography in general, despite the fact, that it does not discuss anything geographical or spatial in its 400 pages.","['file://ftp.cs.utexas.edu/pub/qsim/papers/QR-book-review-Davis.ps.Z', 'http://www.cs.utexas.edu/users/qr/acm-cr-review.html', 'file://ftp.cs.utexas.edu/pub/qsim/papers/QR-book-review-Sacks.ps.Z']",other
 Publications of the UW ML Research Group ,"Proceedings of the International Conference on Neural Networks , pp.","['http://www.cs.wisc.edu/~shavlik/uwml.html', 'http://www.cs.wisc.edu/~shavlik/uwml.html', '#article']",other
Stuff Mike does at Home,"Flying I learned to fly a long time ago, but never really got into it.","['http://www.coc.powell-river.bc.ca/eagles/eagles.html', 'http://http.bsd.uchicago.edu/~b-davies/lyrics.html', 'http://geffen.com/gabriel.html']",other
"Homeworks, Autumn 1996","Date: Mon, 02 Dec 1996 14:49:33 GMT Server: NCSA/1.4.2 Content-type: text/html Homeworks, Autumn 1996 Homeworks Autumn 1996 Homework 1 -  Friday, October 4.","['http://www.cs.washington.edu/education/courses/461/homework/hw1.html', 'http://www.cs.washington.edu/education/courses/461/homework/sol1.html', 'http://www.cs.washington.edu/education/courses/461/homework/hw2.html']",other
CMPS131 - Elementary Computer Programming,"Each and every assignment, the individual project, all quizzes, and all exams should be the product of each student's individual efforts.",[],other
Colophon and Statistics for www.cs.wisc.edu,Statistics These are the statistics records from our server.,"['http://www.cs.wisc.edu/forms/mailwww.html', 'http://cgi.cs.wisc.edu/', 'http://cgi.cs.wisc.edu/logs']",other
CS 110 Sections 1&2 - Program 0,Here is the program to type in (step 13): C       Jeff Lampert,"['http://www.cs.wisc.edu/~tick/cs110.html#assignments', 'http://www.cs.wisc.edu/~tick/cs110/Short.html', 'http://www.cs.wisc.edu/~tick/tick.html']",other
